text,positive,negative
"J'adore l'application, tout fonctionne parfaitement. #MoodMetrics #0001",1,0
"Très bonne surprise avec l'application, le résultat dépasse mes attentes. #Avis #0002",1,0
"Franchement satisfait de l'application, les explications sont utiles. #Feedback #0003",1,0
"Expérience positive pour l'application, l'équipe a été très aimable. #Client #0004",1,0
"Je recommande l'application, le parcours est agréable. #Tweet #0005",1,0
"Super moment avec l'application, c'est stable et pratique. #MoodMetrics #0006",1,0
"Belle amélioration sur l'application, la prise en main est facile. #Avis #0007",1,0
"Service impeccable pour l'application, l'interface est claire. #Feedback #0008",1,0
"Ravi de l'application, la navigation est fluide. #Client #0009",1,0
"Excellent ressenti sur l'application, la qualité est au rendez-vous. #Tweet #0010",1,0
"J'adore le site, la solution est simple. #MoodMetrics #0011",1,0
"Très bonne surprise avec le site, les informations sont précises. #Avis #0012",1,0
"Franchement satisfait de le site, les performances sont bonnes. #Feedback #0013",1,0
"Expérience positive pour le site, le suivi est rassurant. #Client #0014",1,0
"Je recommande le site, la réponse a été rapide. #Tweet #0015",1,0
"Super moment avec le site, le traitement est efficace. #MoodMetrics #0016",1,0
"Belle amélioration sur le site, le délai est respecté. #Avis #0017",1,0
"Service impeccable pour le site, ça me fait gagner du temps. #Feedback #0018",1,0
"Ravi de le site, je suis vraiment content. #Client #0019",1,0
"Excellent ressenti sur le site, le design est propre. #Tweet #0020",1,0
"J'adore le service client, tout fonctionne parfaitement. #MoodMetrics #0021",1,0
"Très bonne surprise avec le service client, le résultat dépasse mes attentes. #Avis #0022",1,0
"Franchement satisfait de le service client, les explications sont utiles. #Feedback #0023",1,0
"Expérience positive pour le service client, l'équipe a été très aimable. #Client #0024",1,0
"Je recommande le service client, le parcours est agréable. #Tweet #0025",1,0
"Super moment avec le service client, c'est stable et pratique. #MoodMetrics #0026",1,0
"Belle amélioration sur le service client, la prise en main est facile. #Avis #0027",1,0
"Service impeccable pour le service client, l'interface est claire. #Feedback #0028",1,0
"Ravi de le service client, la navigation est fluide. #Client #0029",1,0
"Excellent ressenti sur le service client, la qualité est au rendez-vous. #Tweet #0030",1,0
"J'adore la livraison, la solution est simple. #MoodMetrics #0031",1,0
"Très bonne surprise avec la livraison, les informations sont précises. #Avis #0032",1,0
"Franchement satisfait de la livraison, les performances sont bonnes. #Feedback #0033",1,0
"Expérience positive pour la livraison, le suivi est rassurant. #Client #0034",1,0
"Je recommande la livraison, la réponse a été rapide. #Tweet #0035",1,0
"Super moment avec la livraison, le traitement est efficace. #MoodMetrics #0036",1,0
